order_id,customer_id,product_id,quantity,amount,order_date
100,3,3,3,240,2026-06-19
101,2,9,1,60,2026-07-06
102,1,4,3,1050,2026-07-02
103,1,4,2,700,2026-06-15
104,2,10,2,80,2026-06-20
105,3,9,3,180,2026-06-11
106,4,5,3,360,2026-06-09
107,2,5,2,240,2026-07-08
108,3,4,3,1050,2026-06-17
109,2,5,1,120,2026-06-08
110,2,8,3,75,2026-07-08
111,4,2,2,90,2026-06-18
112,4,3,1,80,2026-06-25
113,2,10,3,120,2026-07-08
114,2,7,1,90,2026-06-15
115,4,3,2,160,2026-06-22
116,4,8,2,50,2026-06-21
117,4,10,2,80,2026-06-13
118,4,10,2,80,2026-06-20
119,1,8,1,25,2026-06-13
120,1,10,3,120,2026-07-05
121,2,3,3,240,2026-06-10
122,2,8,1,25,2026-07-04
123,1,8,2,50,2026-06-24
124,4,8,3,75,2026-06-23
125,3,10,3,120,2026-06-12
126,4,4,3,1050,2026-06-24
127,4,6,1,180,2026-06-09
128,3,5,3,360,2026-06-30
129,4,1,2,2400,2026-07-03
130,2,6,1,180,2026-06-21
131,3,5,3,360,2026-06-11
132,2,5,3,360,2026-07-02
133,2,2,3,135,2026-06-25
134,2,3,1,80,2026-06-23
135,2,9,2,120,2026-07-08
136,4,1,3,3600,2026-06-18
137,3,5,1,120,2026-07-04
138,1,9,2,120,2026-06-13
139,2,2,3,135,2026-07-05
140,4,4,1,350,2026-06-12
141,2,8,3,75,2026-06-24
142,2,3,3,240,2026-06-19
143,1,3,3,240,2026-06-19
144,1,9,1,60,2026-06-20
145,3,4,3,1050,2026-06-17
146,3,5,1,120,2026-07-02
147,2,5,2,240,2026-06-13
148,4,4,2,700,2026-06-18
149,2,3,2,160,2026-06-29
150,4,5,3,360,2026-06-23
151,4,8,3,75,2026-06-24
152,1,9,3,180,2026-06-09
153,2,1,2,2400,2026-07-05
154,1,1,3,3600,2026-06-20
155,1,10,3,120,2026-07-08
156,3,8,3,75,2026-06-27
157,3,1,1,1200,2026-07-07
158,1,6,3,540,2026-06-27
159,2,8,1,25,2026-06-13
160,4,5,3,360,2026-07-06
161,3,2,2,90,2026-07-08
162,4,5,2,240,2026-07-04
163,2,9,1,60,2026-06-18
164,2,7,3,270,2026-06-30
165,1,5,1,120,2026-07-08
166,3,8,3,75,2026-06-25
167,2,10,1,40,2026-06-27
168,1,1,1,1200,2026-07-04
169,4,5,3,360,2026-07-07
170,1,2,2,90,2026-07-01
171,3,2,2,90,2026-06-20
172,3,5,3,360,2026-07-01
173,2,10,2,80,2026-06-20
174,3,7,2,180,2026-07-06
175,3,9,1,60,2026-06-12
176,4,10,1,40,2026-06-19
177,3,1,3,3600,2026-07-06
178,2,3,3,240,2026-06-13
179,4,5,2,240,2026-06-13
180,1,10,1,40,2026-07-04
181,2,9,2,120,2026-06-24
182,4,4,1,350,2026-06-15
183,2,7,3,270,2026-07-05
184,4,10,1,40,2026-06-13
185,4,6,2,360,2026-06-18
186,1,7,3,270,2026-06-10
187,4,10,3,120,2026-06-27
188,3,4,1,350,2026-06-19
189,2,9,1,60,2026-06-15
190,2,9,1,60,2026-06-09
191,3,6,2,360,2026-06-10
192,3,5,1,120,2026-06-10
193,2,2,3,135,2026-07-04
194,1,10,3,120,2026-06-27
195,1,2,1,45,2026-07-07
196,3,10,2,80,2026-06-19
197,3,4,1,350,2026-06-14
198,2,8,3,75,2026-06-08
199,2,5,2,240,2026-06-08
