order_id,customer_id,amount,status
1,2,313,Shipped
2,5,383,Delivered
3,2,118,Pending
4,2,167,Delivered
5,1,253,Pending
6,1,227,Shipped
7,2,269,Cancelled
8,5,418,Cancelled
9,5,233,Shipped
10,1,269,Cancelled
11,2,299,Shipped
12,2,286,Shipped
13,4,137,Delivered
14,3,128,Pending
15,3,416,Shipped
16,1,464,Shipped
17,5,440,Pending
18,4,128,Cancelled
19,1,444,Shipped
20,3,106,Delivered
21,5,279,Pending
22,5,400,Pending
23,2,356,Shipped
24,1,466,Shipped
25,4,193,Pending
26,2,213,Delivered
27,4,455,Cancelled
28,2,419,Pending
29,1,351,Shipped
30,4,400,Delivered
31,1,389,Pending
32,1,282,Pending
33,3,298,Shipped
34,1,311,Delivered
35,3,310,Delivered
36,1,171,Delivered
37,3,277,Delivered
38,3,356,Cancelled
39,5,453,Shipped
40,2,475,Cancelled
41,2,462,Cancelled
42,2,373,Cancelled
43,2,409,Pending
44,2,274,Delivered
45,2,213,Delivered
46,4,101,Pending
47,4,442,Cancelled
48,1,192,Cancelled
49,2,208,Shipped
50,2,163,Pending
51,5,288,Shipped
52,1,228,Cancelled
53,4,441,Shipped
54,3,260,Cancelled
55,4,390,Cancelled
56,2,460,Cancelled
57,3,392,Delivered
58,2,200,Cancelled
59,2,439,Cancelled
60,3,135,Delivered
61,1,301,Pending
62,5,494,Shipped
63,5,170,Pending
64,1,322,Delivered
65,1,339,Pending
66,4,262,Shipped
67,5,386,Cancelled
68,1,494,Cancelled
69,3,487,Cancelled
70,1,394,Pending
71,1,334,Cancelled
72,3,280,Cancelled
73,3,289,Cancelled
74,5,144,Shipped
75,2,257,Delivered
76,5,426,Cancelled
77,1,389,Delivered
78,2,430,Delivered
79,2,257,Shipped
80,2,303,Shipped
81,4,418,Pending
82,1,189,Shipped
83,3,147,Shipped
84,4,489,Cancelled
85,2,334,Pending
86,5,339,Pending
87,4,285,Delivered
88,3,492,Shipped
89,3,115,Pending
90,1,457,Pending
91,2,117,Shipped
92,5,477,Pending
93,4,236,Cancelled
94,1,461,Delivered
95,1,153,Delivered
96,1,430,Shipped
97,2,251,Pending
98,5,187,Delivered
99,4,135,Cancelled
100,1,392,Cancelled
