enrollment_id,student_id,course_id,enrollment_date,grade,status
1,1,101,2025-01-10,A,Active
2,1,104,2025-01-10,B+,Active
3,2,102,2025-01-12,A-,Active
4,2,105,2025-01-12,B,Active
5,3,103,2025-01-15,A,Active
6,3,106,2025-01-15,B+,Active
7,4,101,2025-01-10,A,Active
8,4,109,2025-01-10,A-,Active
9,5,108,2025-01-14,B,Active
10,5,110,2025-01-14,B+,Active
11,6,107,2025-01-16,A,Active
12,6,108,2025-01-16,B,Active
13,7,102,2025-01-12,A-,Active
14,7,105,2025-01-12,B+,Active
15,8,103,2025-01-15,B,Active
16,8,106,2025-01-15,C+,Active
17,9,104,2025-01-10,A-,Active
18,9,109,2025-01-10,B+,Active
19,10,110,2025-01-14,A,Active
20,10,108,2025-01-14,B,Active
